Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Compare At Price,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight,Variant Weight Unit,Variant Image,Inventory Qty,Inventory Tracker,Status
slow-down-lick-mat,Slow-Down Lick Mat,"<p>Mealtime shouldn't be a 10-second inhale. Transform rushed eating into a calming, enriching experience with the Slow-Down Lick Mat.</p><p><strong>Features:</strong></p><ul><li>Medical-grade silicone (food-safe, BPA-free)</li><li>Textured ridges slow eating pace</li><li>Dishwasher safe for easy cleaning</li><li>Freezer-friendly for extended use</li><li>Non-slip base prevents sliding</li><li>Helps with digestion and reduces bloating</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: Food-grade silicone</li><li>Diameter: 7 inches</li><li>Thickness: 0.5 inches</li><li>Colors: Pink, Blue, Yellow, Rainbow</li><li>Care: Dishwasher safe (top rack), freezer safe</li></ul>",Pawlettes,Feeding & Mealtime,"slow feeding, lick mat, dog enrichment, interactive",TRUE,Color,Pink,PAWL-001-PINK,,,$18.00,TRUE,TRUE,0.19,lb,1-lick-mat.png,100,shopify,active
slow-down-lick-mat,Slow-Down Lick Mat,"<p>Mealtime shouldn't be a 10-second inhale. Transform rushed eating into a calming, enriching experience with the Slow-Down Lick Mat.</p><p><strong>Features:</strong></p><ul><li>Medical-grade silicone (food-safe, BPA-free)</li><li>Textured ridges slow eating pace</li><li>Dishwasher safe for easy cleaning</li><li>Freezer-friendly for extended use</li><li>Non-slip base prevents sliding</li><li>Helps with digestion and reduces bloating</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: Food-grade silicone</li><li>Diameter: 7 inches</li><li>Thickness: 0.5 inches</li><li>Colors: Pink, Blue, Yellow, Rainbow</li><li>Care: Dishwasher safe (top rack), freezer safe</li></ul>",Pawlettes,Feeding & Mealtime,"slow feeding, lick mat, dog enrichment, interactive",TRUE,Color,Blue,PAWL-001-BLUE,,,$18.00,TRUE,TRUE,0.19,lb,,100,shopify,active
slow-down-lick-mat,Slow-Down Lick Mat,"<p>Mealtime shouldn't be a 10-second inhale. Transform rushed eating into a calming, enriching experience with the Slow-Down Lick Mat.</p><p><strong>Features:</strong></p><ul><li>Medical-grade silicone (food-safe, BPA-free)</li><li>Textured ridges slow eating pace</li><li>Dishwasher safe for easy cleaning</li><li>Freezer-friendly for extended use</li><li>Non-slip base prevents sliding</li><li>Helps with digestion and reduces bloating</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: Food-grade silicone</li><li>Diameter: 7 inches</li><li>Thickness: 0.5 inches</li><li>Colors: Pink, Blue, Yellow, Rainbow</li><li>Care: Dishwasher safe (top rack), freezer safe</li></ul>",Pawlettes,Feeding & Mealtime,"slow feeding, lick mat, dog enrichment, interactive",TRUE,Color,Yellow,PAWL-001-YELLOW,,,$18.00,TRUE,TRUE,0.19,lb,,100,shopify,active
reversible-pet-bandana,Reversible Pet Bandana,"<p>Two looks, one bandana, and your best friend's name stitched right where everyone can see it.</p><p>The Reversible Pet Bandana combines style with personalization. This elegant neck accessory features two different patterns (one on each side) so you can change your pup's look depending on the occasion. Each bandana is custom embroidered with your dog's name.</p><p><strong>Features:</strong></p><ul><li>Reversible design (two patterns in one)</li><li>Custom name embroidery</li><li>Premium cotton blend fabric</li><li>Comfortable and breathable</li><li>Lightweight and durable</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: 65% cotton, 35% polyester blend</li><li>Length: 22 inches</li><li>Width: 22 inches</li><li>Embroidery: Personalized text (up to 15 characters)</li><li>Pattern Options: Paw prints, stripes, geometric, floral</li><li>Care: Machine washable, cold water, gentle cycle</li></ul>",Pawlettes,Apparel & Accessories,"pet bandana, personalized, custom embroidery, dog fashion",TRUE,Personalization,Custom with Name,PAWL-002-CUSTOM,,,$24.00,FALSE,FALSE,0.05,lb,2-reversible-bandana.png,50,shopify,active
quick-dip-paw-cleaner,Quick-Dip Paw Cleaner,"<p>Muddy walks, clean floors. The Quick-Dip Paw Cleaner gently washes away mud, sand, and dirt with a simple dip.</p><p>Say goodbye to muddy paw prints on your furniture and floors. The Quick-Dip Paw Cleaner is a portable, innovative solution that makes post-walk cleanup effortless. Simply fill with lukewarm water, dip your dog's paw into the soft silicone bristles, and rotate gently.</p><p><strong>Features:</strong></p><ul><li>Soft silicone bristles (pet-safe, non-toxic)</li><li>Cylindrical cup design fits paws comfortably</li><li>Portable and lightweight</li><li>Quick cleaning action (30 seconds per paw)</li><li>Drainage holes for easy emptying</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: Food-grade silicone exterior, soft bristle interior</li><li>Diameter: 3.5 inches</li><li>Height: 4.5 inches</li><li>Water Capacity: 20 oz</li><li>Colors: Blush pink, sage green, neutral gray, sky blue</li><li>Care: Hand wash or dishwasher safe (top rack)</li></ul>",Pawlettes,Grooming & Cleaning,"paw cleaner, mud removal, portable, dog grooming",TRUE,Color,Blush Pink,PAWL-003-PINK,,,$24.00,TRUE,TRUE,0.25,lb,3-paw-cleaner.png,75,shopify,active
quick-dip-paw-cleaner,Quick-Dip Paw Cleaner,"<p>Muddy walks, clean floors. The Quick-Dip Paw Cleaner gently washes away mud, sand, and dirt with a simple dip.</p><p>Say goodbye to muddy paw prints on your furniture and floors. The Quick-Dip Paw Cleaner is a portable, innovative solution that makes post-walk cleanup effortless. Simply fill with lukewarm water, dip your dog's paw into the soft silicone bristles, and rotate gently.</p><p><strong>Features:</strong></p><ul><li>Soft silicone bristles (pet-safe, non-toxic)</li><li>Cylindrical cup design fits paws comfortably</li><li>Portable and lightweight</li><li>Quick cleaning action (30 seconds per paw)</li><li>Drainage holes for easy emptying</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: Food-grade silicone exterior, soft bristle interior</li><li>Diameter: 3.5 inches</li><li>Height: 4.5 inches</li><li>Water Capacity: 20 oz</li><li>Colors: Blush pink, sage green, neutral gray, sky blue</li><li>Care: Hand wash or dishwasher safe (top rack)</li></ul>",Pawlettes,Grooming & Cleaning,"paw cleaner, mud removal, portable, dog grooming",TRUE,Color,Sage Green,PAWL-003-GREEN,,,$24.00,TRUE,TRUE,0.25,lb,,75,shopify,active
pup-tee,Pup Tee,"<p>Wear your best friend over your heart. The Pup Tee turns your pet's name into wearable love.</p><p>Show off your devotion to your furry best friend with the Pup Tee. This premium t-shirt features your dog's name displayed prominently on the chest, making a bold statement about your priorities.</p><p><strong>Features:</strong></p><ul><li>100% premium cotton (soft and breathable)</li><li>Custom name print on chest</li><li>Pre-shrunk for consistent sizing</li><li>Durable screen-printed design</li><li>Tag-free for ultimate comfort</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: 100% combed cotton</li><li>Weight: 5.3 oz</li><li>Fit: Unisex classic fit</li><li>Print Placement: Center chest (approximately 4"" x 6"")</li><li>Print Type: Screen print</li><li>Colors: White, cream, heather gray, navy, black</li><li>Available Sizes: XS, S, M, L, XL, 2XL, 3XL</li><li>Care: Machine wash cold, hang dry</li></ul>",Pawlettes,Apparel & Accessories,"t-shirt, custom dog, personalized, dog parent",TRUE,Size,XS,PAWL-004-XS,,,$28.00,FALSE,FALSE,0.15,lb,4-pup-tee.png,30,shopify,active
pup-tee,Pup Tee,"<p>Wear your best friend over your heart. The Pup Tee turns your pet's name into wearable love.</p><p>Show off your devotion to your furry best friend with the Pup Tee. This premium t-shirt features your dog's name displayed prominently on the chest, making a bold statement about your priorities.</p><p><strong>Features:</strong></p><ul><li>100% premium cotton (soft and breathable)</li><li>Custom name print on chest</li><li>Pre-shrunk for consistent sizing</li><li>Durable screen-printed design</li><li>Tag-free for ultimate comfort</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: 100% combed cotton</li><li>Weight: 5.3 oz</li><li>Fit: Unisex classic fit</li><li>Print Placement: Center chest (approximately 4"" x 6"")</li><li>Print Type: Screen print</li><li>Colors: White, cream, heather gray, navy, black</li><li>Available Sizes: XS, S, M, L, XL, 2XL, 3XL</li><li>Care: Machine wash cold, hang dry</li></ul>",Pawlettes,Apparel & Accessories,"t-shirt, custom dog, personalized, dog parent",TRUE,Size,M,PAWL-004-M,,,$28.00,FALSE,FALSE,0.15,lb,,30,shopify,active
pup-tee,Pup Tee,"<p>Wear your best friend over your heart. The Pup Tee turns your pet's name into wearable love.</p><p>Show off your devotion to your furry best friend with the Pup Tee. This premium t-shirt features your dog's name displayed prominently on the chest, making a bold statement about your priorities.</p><p><strong>Features:</strong></p><ul><li>100% premium cotton (soft and breathable)</li><li>Custom name print on chest</li><li>Pre-shrunk for consistent sizing</li><li>Durable screen-printed design</li><li>Tag-free for ultimate comfort</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: 100% combed cotton</li><li>Weight: 5.3 oz</li><li>Fit: Unisex classic fit</li><li>Print Placement: Center chest (approximately 4"" x 6"")</li><li>Print Type: Screen print</li><li>Colors: White, cream, heather gray, navy, black</li><li>Available Sizes: XS, S, M, L, XL, 2XL, 3XL</li><li>Care: Machine wash cold, hang dry</li></ul>",Pawlettes,Apparel & Accessories,"t-shirt, custom dog, personalized, dog parent",TRUE,Size,L,PAWL-004-L,,,$28.00,FALSE,FALSE,0.15,lb,,30,shopify,active
dog-parent-crewneck,Personalized Dog Parent Crewneck,"<p>For the person whose whole heart answers to a wagging tail. This cozy crewneck celebrates the unbreakable bond between you and your pup.</p><p>This isn't just a sweatshirt—it's a declaration of love for your furry family member. The Personalized Dog Parent Crewneck features custom embroidery reading ""Dog Parent to [Your Dog's Name],"" creating a unique piece that speaks to your identity as a devoted dog lover.</p><p><strong>Features:</strong></p><ul><li>Premium heavyweight cotton-poly blend</li><li>Custom embroidered personalization</li><li>Brushed fleece interior (ultra soft and warm)</li><li>Durable ribbed cuffs and hem</li><li>Double-stitched seams</li></ul><p><strong>Specifications:</strong></p><ul><li>Material: 50% combed cotton, 50% polyester</li><li>Weight: 12 oz</li><li>Fit: Classic unisex crewneck fit</li><li>Embroidery Placement: Center chest</li><li>Colors: Cream, heather gray, charcoal, navy, black, sage</li><li>Available Sizes: XS, S, M, L, XL, 2XL, 3XL</li><li>Care: Machine wash warm, tumble dry low</li></ul>",Pawlettes,Apparel & Accessories,"crewneck, sweatshirt, custom embroidery, dog parent",TRUE,Size,M,PAWL-005-M,,,$42.00,FALSE,FALSE,0.4,lb,5-dog-parent-crewneck.png,25,shopify,active
